epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,145.554,0.84398,1.83953,1.28551,0.68138,0.51441,0.62584,0.51255,0.82747,2.06949,1.36882,0.000239853,0.000239853,0.000239853
43,148.901,0.83294,1.80174,1.27608,0.55934,0.53761,0.63948,0.5195,0.84352,1.99682,1.40416,0.000239605,0.000239605,0.000239605
44,152.248,0.83128,1.75856,1.27889,0.72966,0.46449,0.63372,0.49905,0.86123,2.06511,1.40145,0.000239357,0.000239357,0.000239357
45,155.588,0.81314,1.73087,1.26037,0.50387,0.52353,0.60292,0.46848,0.83729,2.2319,1.39647,0.00023911,0.00023911,0.00023911
46,158.888,0.82323,1.70971,1.27062,0.46904,0.52888,0.61784,0.45746,0.99306,2.07038,1.51401,0.000238862,0.000238862,0.000238862
47,162.145,0.8028,1.68322,1.26121,0.69731,0.44103,0.58766,0.45516,0.88361,2.02712,1.44679,0.000238615,0.000238615,0.000238615
48,165.472,0.82056,1.68639,1.26222,0.52057,0.57607,0.63514,0.49882,0.89572,1.98175,1.43116,0.000238367,0.000238367,0.000238367
49,168.782,0.7977,1.64545,1.25296,0.36294,0.68425,0.60232,0.46934,0.94252,1.98439,1.45952,0.00023812,0.00023812,0.00023812
50,172.069,0.81289,1.6298,1.27114,0.42309,0.67255,0.6422,0.50686,0.81557,1.84369,1.36717,0.000237872,0.000237872,0.000237872
51,175.389,0.78534,1.57159,1.24401,0.58662,0.58685,0.66713,0.52416,0.8941,1.81573,1.43561,0.000237625,0.000237625,0.000237625
52,178.791,0.78536,1.56676,1.24933,0.51809,0.66171,0.63619,0.48512,0.93217,1.91099,1.47459,0.000237377,0.000237377,0.000237377
53,182.172,0.78786,1.56632,1.25518,0.58463,0.52424,0.56732,0.44055,0.84854,1.79449,1.40352,0.00023713,0.00023713,0.00023713
54,185.517,0.78681,1.55278,1.26265,0.52954,0.56465,0.61292,0.46327,0.86708,1.9482,1.42649,0.000236883,0.000236883,0.000236883
55,188.857,0.80316,1.5719,1.25124,0.57563,0.63982,0.67122,0.5507,0.8041,1.90678,1.3458,0.000236635,0.000236635,0.000236635
56,192.176,0.77033,1.5048,1.24396,0.52334,0.69526,0.6537,0.52765,0.83836,1.71142,1.38261,0.000236387,0.000236387,0.000236387
57,195.519,0.78227,1.49998,1.24057,0.51142,0.60026,0.67902,0.53047,0.88662,1.76647,1.4194,0.00023614,0.00023614,0.00023614
58,198.831,0.7823,1.48316,1.25687,0.59545,0.58627,0.59808,0.45888,0.91686,1.85741,1.44017,0.000235892,0.000235892,0.000235892
59,202.127,0.77709,1.48548,1.24444,0.58236,0.56316,0.55,0.44584,0.79685,1.92626,1.32414,0.000235645,0.000235645,0.000235645
60,205.425,0.7597,1.43249,1.23862,0.55199,0.63731,0.62647,0.52413,0.78005,1.83262,1.33655,0.000235398,0.000235398,0.000235398
61,208.71,0.77071,1.44758,1.22968,0.66065,0.64169,0.62367,0.5057,0.77737,1.88922,1.32333,0.00023515,0.00023515,0.00023515
62,211.984,0.76738,1.44926,1.24007,0.66239,0.59612,0.63878,0.5196,0.83747,1.82795,1.381,0.000234903,0.000234903,0.000234903
63,215.287,0.76828,1.4442,1.23221,0.55012,0.65402,0.61983,0.4744,0.93299,2.08452,1.47526,0.000234655,0.000234655,0.000234655
64,218.652,0.75453,1.40827,1.22664,0.6568,0.5633,0.6089,0.48883,0.82289,1.86823,1.37368,0.000234408,0.000234408,0.000234408
65,222.004,0.76459,1.41622,1.23145,0.70134,0.6305,0.63501,0.50116,0.82352,1.71321,1.37649,0.00023416,0.00023416,0.00023416
66,225.306,0.74412,1.37939,1.22507,0.62909,0.63268,0.61492,0.48725,0.85199,1.72047,1.39091,0.000233913,0.000233913,0.000233913
67,228.607,0.75746,1.39385,1.22107,0.6253,0.66401,0.61025,0.46979,0.84301,1.84126,1.3854,0.000233665,0.000233665,0.000233665
68,231.888,0.75287,1.37364,1.2222,0.56056,0.67443,0.60171,0.47568,0.79237,1.74308,1.33553,0.000233418,0.000233418,0.000233418
69,235.176,0.76063,1.38316,1.23139,0.50521,0.6731,0.60707,0.48591,0.77595,1.74042,1.31144,0.00023317,0.00023317,0.00023317
70,238.469,0.7542,1.36888,1.2234,0.60939,0.60031,0.61967,0.49487,0.86568,1.72135,1.39907,0.000232922,0.000232922,0.000232922
71,241.784,0.75703,1.34888,1.22303,0.67975,0.57605,0.67244,0.52534,0.82284,1.76019,1.35367,0.000232675,0.000232675,0.000232675
72,245.106,0.75087,1.34521,1.22196,0.72684,0.62377,0.76172,0.6259,0.81247,1.47962,1.39024,0.000232428,0.000232428,0.000232428
73,248.474,0.7425,1.35291,1.21765,0.77593,0.59748,0.69714,0.55342,0.80945,1.62712,1.34791,0.00023218,0.00023218,0.00023218
74,251.771,0.74453,1.29556,1.21474,0.66835,0.62284,0.65762,0.51773,0.86361,1.78235,1.38917,0.000231933,0.000231933,0.000231933
75,255.035,0.74176,1.32941,1.2213,0.59461,0.59495,0.64651,0.50689,0.83163,1.6811,1.38172,0.000231685,0.000231685,0.000231685
76,258.296,0.74907,1.31114,1.22662,0.62019,0.62763,0.59329,0.45539,0.87704,1.71798,1.43656,0.000231438,0.000231438,0.000231438
77,261.613,0.76905,1.32361,1.22814,0.74907,0.51902,0.68973,0.55191,0.89369,1.64162,1.43362,0.00023119,0.00023119,0.00023119
78,264.951,0.74203,1.28781,1.20834,0.72066,0.69207,0.72808,0.56176,0.89754,1.61649,1.46741,0.000230943,0.000230943,0.000230943
79,268.257,0.74599,1.27519,1.21236,0.74948,0.55055,0.70053,0.55742,0.86251,1.72412,1.39252,0.000230695,0.000230695,0.000230695
80,271.621,0.72395,1.25716,1.20434,0.70224,0.59515,0.64943,0.52444,0.78316,1.6925,1.30859,0.000230448,0.000230448,0.000230448
81,274.917,0.72714,1.26208,1.19994,0.63599,0.6006,0.66416,0.55202,0.82895,1.70017,1.40024,0.0002302,0.0002302,0.0002302
82,278.158,0.72406,1.26591,1.21283,0.56137,0.64547,0.64525,0.52349,0.8056,1.74562,1.36765,0.000229953,0.000229953,0.000229953
83,281.404,0.72344,1.22748,1.20258,0.88279,0.43915,0.63557,0.49639,0.93811,1.7647,1.52653,0.000229705,0.000229705,0.000229705
84,284.705,0.73546,1.26436,1.20773,0.61883,0.70424,0.70322,0.56485,0.83662,1.58753,1.3882,0.000229458,0.000229458,0.000229458
85,287.976,0.73166,1.24689,1.207,0.72643,0.66514,0.72962,0.5821,0.8408,1.45412,1.38524,0.00022921,0.00022921,0.00022921
86,291.285,0.71546,1.20752,1.19371,0.6437,0.71605,0.66644,0.56698,0.75108,1.55415,1.30433,0.000228963,0.000228963,0.000228963
87,294.566,0.7141,1.21535,1.1955,0.69572,0.61701,0.67549,0.55242,0.77522,1.56932,1.33645,0.000228715,0.000228715,0.000228715
88,297.921,0.72141,1.24943,1.18752,0.73193,0.60166,0.71537,0.60532,0.78493,1.62801,1.32134,0.000228468,0.000228468,0.000228468
89,301.242,0.72383,1.22369,1.19036,0.61052,0.71546,0.68645,0.56442,0.75792,1.52571,1.31975,0.00022822,0.00022822,0.00022822
90,304.609,0.71196,1.20594,1.1885,0.57498,0.75518,0.74373,0.60376,0.85093,1.52492,1.41788,0.000227972,0.000227972,0.000227972
91,307.954,0.71209,1.18787,1.18866,0.85958,0.53086,0.73147,0.59267,0.8164,1.52515,1.39994,0.000227725,0.000227725,0.000227725
92,311.246,0.71667,1.21784,1.19727,0.65035,0.71051,0.7309,0.58753,0.82633,1.50901,1.36978,0.000227477,0.000227477,0.000227477
93,314.584,0.71619,1.22829,1.20066,0.60641,0.65338,0.74472,0.62267,0.75931,1.56775,1.31149,0.00022723,0.00022723,0.00022723
94,317.924,0.7136,1.18583,1.18869,0.62372,0.71009,0.76434,0.62029,0.87457,1.58077,1.40955,0.000226983,0.000226983,0.000226983
95,321.248,0.70268,1.19861,1.18679,0.69544,0.61817,0.72849,0.60379,0.77311,1.52597,1.34657,0.000226735,0.000226735,0.000226735
96,324.533,0.70805,1.1761,1.18115,0.75118,0.5713,0.70768,0.57458,0.79319,1.67593,1.33975,0.000226488,0.000226488,0.000226488
97,327.809,0.70009,1.15636,1.18501,0.60981,0.62183,0.68362,0.54327,0.83764,1.69258,1.37748,0.00022624,0.00022624,0.00022624
98,331.094,0.70668,1.17703,1.17779,0.65778,0.62734,0.69597,0.57132,0.82431,1.64809,1.36418,0.000225993,0.000225993,0.000225993
99,334.423,0.70504,1.15007,1.18642,0.73188,0.60494,0.72368,0.59887,0.81028,1.558,1.35168,0.000225745,0.000225745,0.000225745
100,337.705,0.71046,1.14198,1.18827,0.78427,0.56589,0.7126,0.56896,0.86123,1.48432,1.39861,0.000225498,0.000225498,0.000225498
101,340.955,0.705,1.16824,1.18739,0.71148,0.61189,0.67606,0.5628,0.78956,1.60149,1.3141,0.00022525,0.00022525,0.00022525
102,344.179,0.70418,1.15725,1.18573,0.6589,0.65643,0.70019,0.57763,0.78632,1.51826,1.33184,0.000225003,0.000225003,0.000225003
103,347.4,0.70001,1.13417,1.18211,0.70755,0.67458,0.7633,0.63216,0.77795,1.57262,1.33131,0.000224755,0.000224755,0.000224755
104,350.788,0.71755,1.14925,1.18871,0.78499,0.5679,0.76693,0.6331,0.82596,1.58778,1.36058,0.000224507,0.000224507,0.000224507
105,354.159,0.71432,1.1324,1.18523,0.67292,0.61713,0.69779,0.55503,0.83042,1.71429,1.38013,0.00022426,0.00022426,0.00022426
